Model,AUC,AP
GCN,0.6944444444444444,0.7132936507936508
GCN,0.28571428571428575,0.4151927437641723
GCN,0.836734693877551,0.8520408163265305
GCN,0.9012345679012346,0.9121572871572872
GCN,0.7777777777777779,0.7662698412698411
GAT,0.33333333333333337,0.4444444444444445
GAT,0.5,0.5
GAT,0.5,0.5
GAT,0.5,0.5
GAT,0.41666666666666663,0.4666666666666667
SAGE,0.8611111111111112,0.8178571428571427
SAGE,0.32653061224489793,0.425937950937951
SAGE,0.9183673469387755,0.9240362811791383
SAGE,0.9259259259259258,0.9060405643738978
SAGE,0.7777777777777779,0.7579365079365078
