Model,AUC,AP
GCN,0.9166666666666667,0.9150793650793649
GCN,0.673469387755102,0.7702380952380952
GCN,0.5625,0.5845238095238094
GCN,1.0,1.0
GCN,0.836734693877551,0.8676870748299319
GCN,0.5,0.5833333333333333
GCN,0.7962962962962963,0.819610636277303
GCN,1.0,1.0
GCN,0.7777777777777779,0.6968253968253969
GCN,0.6666666666666667,0.7196127946127945
GCN,0.5,0.5833333333333333
GCN,0.0,0.41666666666666663
GCN,1.0,1.0
GCN,0.0,0.41666666666666663
GCN,0.5555555555555556,0.7222222222222222
GCN,0.2,0.4046031746031746
GCN,0.5,0.5833333333333333
GCN,0.888888888888889,0.9166666666666665
GCN,0.33333333333333337,0.5
GCN,0.875,0.8875
GCN,0.953125,0.9659090909090909
GCN,0.7022222222222222,0.7572452498768287
GCN,1.0,1.0
GCN,1.0,1.0
GCN,0.4444444444444445,0.5333333333333333
GCN,0.0,0.5
GCN,0.92,0.9428571428571428
GCN,0.49382716049382713,0.6298314339981008
GCN,1.0,1.0
GCN,0.75,0.6791666666666667
GCN,0.59375,0.6834595959595959
GCN,0.8775510204081631,0.8843537414965985
GCN,0.6666666666666666,0.739520202020202
GCN,1.0,1.0
GCN,0.673469387755102,0.666156462585034
GCN,0.5510204081632653,0.6048229548229549
GCN,0.0,0.5
GCN,0.9791666666666666,0.9790695415695415
GCN,0.39506172839506176,0.46927146927146934
GCN,0.5,0.5833333333333333
GCN,0.8055555555555556,0.8134920634920634
GCN,0.48,0.6888888888888889
GCN,1.0,1.0
GCN,0.5,0.75
GCN,0.8055555555555556,0.8708333333333333
GCN,0.638888888888889,0.6047619047619048
GCN,1.0,1.0
GCN,0.4444444444444444,0.6666666666666667
GCN,1.0,1.0
GCN,0.6666666666666666,0.8333333333333333
GCN,0.5555555555555556,0.7222222222222222
GCN,0.8,0.8999999999999999
GCN,1.0,1.0
GCN,0.4444444444444444,0.6666666666666667
GCN,0.6875,0.6458333333333333
GCN,1.0,1.0
GCN,1.0,1.0
GCN,0.78125,0.8791666666666667
GCN,0.5,0.75
GCN,0.0,0.5
GCN,1.0,1.0
GCN,1.0,1.0
GCN,0.6800000000000002,0.7433333333333334
GCN,0.671875,0.6999323593073593
GCN,0.0,0.5
GCN,0.8125,0.8041666666666667
GCN,0.11111111111111112,0.41111111111111115
GCN,0.0,0.5
GCN,0.888888888888889,0.9166666666666665
GCN,0.875,0.8875
GCN,0.703125,0.7906520562770563
GCN,0.640625,0.6578869047619047
GCN,0.4598765432098765,0.5713748510778699
GCN,0.7777777777777779,0.7579365079365078
GCN,0.8979591836734695,0.8736394557823128
GCN,1.0,1.0
GCN,0.5,0.5833333333333333
GCN,0.7222222222222222,0.7994047619047618
GCN,0.0,0.5
GCN,0.71875,0.7699862637362638
GCN,0.7959183673469388,0.7972789115646257
GCN,0.5,0.5833333333333333
GCN,0.875,0.9166666666666666
GCN,1.0,1.0
GCN,0.0,0.41666666666666663
GCN,0.703125,0.6813311688311687
GCN,0.6875,0.7928571428571428
GCN,0.8367346938775511,0.857142857142857
GCN,0.5432098765432098,0.6332537288419642
GCN,1.0,1.0
GCN,0.75,0.875
GCN,0.33333333333333337,0.4777777777777778
GCN,0.390625,0.4588557276057276
GCN,1.0,1.0
GCN,0.6666666666666667,0.7555555555555555
GCN,0.5802469135802469,0.6514830848164181
GCN,1.0,1.0
GCN,0.5306122448979592,0.607936507936508
GCN,0.75,0.6916666666666668
GCN,0.5,0.75
GCN,0.3611111111111111,0.4465969215969216
GCN,0.9591836734693878,0.9617346938775508
GCN,0.78125,0.8169642857142858
GCN,0.9600000000000001,0.9666666666666666
GCN,0.25,0.5
GCN,0.75,0.7709145021645021
GCN,0.8571428571428571,0.8962585034013604
GCN,0.8163265306122448,0.8401360544217686
GCN,0.7777777777777779,0.8055555555555556
GCN,0.640625,0.7601190476190476
GCN,0.5,0.5833333333333333
GCN,1.0,1.0
GCN,0.6094182825484764,0.5812706000062978
GCN,0.59375,0.5489898989898989
GCN,1.0,1.0
GCN,0.9400000000000001,0.941540404040404
GCN,0.875,0.9
GCN,0.76,0.7961904761904761
GCN,1.0,1.0
GCN,0.8367346938775511,0.827437641723356
GCN,0.5,0.5833333333333333
GCN,1.0,1.0
GCN,0.75,0.8333333333333333
GCN,1.0,1.0
GCN,0.7755102040816325,0.857142857142857
GCN,0.4375,0.625
GCN,1.0,1.0
GCN,0.6666666666666667,0.6388888888888888
GCN,0.25,0.5
GCN,1.0,1.0
GCN,0.7142857142857143,0.7420995670995671
GCN,0.8024691358024691,0.7740130240130239
GCN,0.5,0.5
GCN,0.75,0.875
GCN,0.5,0.5833333333333333
GCN,0.5306122448979591,0.5428880643166357
GCN,0.52,0.7
GCN,0.7777777777777779,0.8055555555555556
GCN,0.26999999999999996,0.4795369551329304
GCN,0.3125,0.4583333333333333
GCN,0.3333333333333333,0.6333333333333333
GCN,1.0,1.0
GCN,1.0,1.0
GCN,0.5,0.75
GCN,0.5,0.75
GCN,1.0,1.0
GCN,0.75,0.8333333333333333
GCN,0.49999999999999994,0.5376143790849673
GCN,0.3333333333333333,0.6333333333333333
GCN,0.6666666666666666,0.8333333333333333
GCN,0.6666666666666667,0.6388888888888888
GCN,0.33333333333333337,0.5
GCN,0.5,0.5833333333333333
GCN,0.5918367346938774,0.7516483516483516
GCN,0.6666666666666666,0.8333333333333333
GCN,0.6666666666666667,0.7555555555555555
GCN,0.5555555555555556,0.6236471861471861
GCN,0.875,0.8875
GCN,0.5,0.75
GCN,0.0,0.5
GCN,0.0,0.5
GCN,1.0,1.0
GCN,0.6000000000000001,0.6976190476190476
GCN,1.0,1.0
GCN,0.44000000000000006,0.5009523809523809
GCN,0.59375,0.5892097485847485
GCN,0.5,0.5833333333333333
GCN,0.5,0.5428571428571428
GCN,0.90625,0.9115936147186148
GCN,0.8800000000000001,0.8766666666666667
GCN,0.1875,0.44047619047619047
GCN,0.4444444444444445,0.5555555555555556
GCN,0.7222222222222223,0.6496031746031746
GCN,0.75,0.8333333333333333
GCN,0.22222222222222224,0.4666666666666667
GCN,1.0,1.0
GCN,0.0625,0.37797619047619047
GCN,0.0,0.5
GCN,1.0,1.0
GCN,0.5,0.75
GCN,0.75,0.8166666666666667
GCN,0.75,0.8333333333333333
GCN,0.5510204081632653,0.6627816627816627
GCN,0.8400000000000001,0.8166666666666667
GCN,0.75,0.8333333333333333
GCN,1.0,1.0
GCN,1.0,1.0
GCN,0.5,0.7321428571428572
GCN,0.888888888888889,0.9166666666666665
GCN,0.75,0.8333333333333333
GCN,1.0,1.0
GCN,0.3333333333333333,0.6333333333333333
GCN,0.875,0.8875
GCN,0.0,0.5
GCN,0.6799999999999999,0.8111111111111111
GCN,0.828125,0.8470619658119658
GCN,0.5,0.5833333333333333
GCN,1.0,1.0
GCN,0.7777777777777778,0.8666666666666666
GCN,0.4488888888888889,0.4667140184165355
GCN,1.0,1.0
GCN,0.7346938775510203,0.7590136054421768
GCN,0.5625,0.75
GCN,1.0,1.0
GCN,1.0,1.0
GCN,0.75,0.8333333333333333
GCN,0.8512396694214877,0.9021265284423181
GCN,0.5555555555555556,0.7
GCN,0.75,0.8333333333333333
GCN,0.4444444444444445,0.5333333333333333
GCN,1.0,1.0
GCN,0.6897506925207756,0.7525364679289359
GCN,0.888888888888889,0.9166666666666665
GCN,1.0,1.0
GCN,0.888888888888889,0.9166666666666665
GCN,0.5,0.5833333333333333
GCN,0.5,0.6286976911976911
GCN,0.8934240362811792,0.9246346136686601
GCN,1.0,1.0
GCN,1.0,1.0
GCN,1.0,1.0
GCN,0.75,0.7708333333333333
GCN,0.5555555555555556,0.7222222222222222
GCN,0.25,0.5
GCN,0.5537190082644629,0.6474294226897661
GCN,0.5,0.5833333333333333
GCN,0.8775510204081631,0.8976190476190475
GCN,0.7777777777777779,0.8055555555555556
GCN,0.8400000000000001,0.81
GCN,0.75,0.6916666666666667
GCN,0.5,0.75
GCN,0.7777777777777778,0.8666666666666667
GCN,0.4444444444444445,0.5333333333333333
GCN,0.75,0.8333333333333333
GCN,1.0,1.0
GCN,0.7777777777777778,0.8617424242424241
GAT,0.6111111111111112,0.6787037037037037
GAT,0.5510204081632653,0.7094405594405595
GAT,0.5,0.5666666666666667
GAT,1.0,1.0
GAT,0.6530612244897959,0.7258503401360543
GAT,0.0,0.41666666666666663
GAT,0.5740740740740741,0.7253968253968255
GAT,1.0,1.0
GAT,0.5,0.51005291005291
GAT,0.6666666666666667,0.7827380952380952
GAT,0.5,0.5833333333333333
GAT,0.5,0.75
GAT,0.5,0.5833333333333333
GAT,0.0,0.41666666666666663
GAT,0.5555555555555556,0.7
GAT,0.48,0.5444444444444444
GAT,0.5,0.75
GAT,0.6666666666666667,0.7555555555555555
GAT,0.7777777777777779,0.8055555555555556
GAT,0.75,0.6791666666666667
GAT,0.6171875,0.5781565656565656
GAT,0.5644444444444444,0.7106857395478084
GAT,1.0,1.0
GAT,0.75,0.8333333333333333
GAT,0.22222222222222224,0.4666666666666667
GAT,1.0,1.0
GAT,0.8400000000000001,0.81
GAT,0.48765432098765427,0.6656487575605222
GAT,0.0,0.5
GAT,0.625,0.7678571428571428
GAT,0.65625,0.7538690476190477
GAT,0.6122448979591837,0.71212715855573
GAT,0.33333333333333337,0.4527417027417028
GAT,0.75,0.8333333333333333
GAT,0.44897959183673475,0.49914529914529915
GAT,0.7346938775510203,0.7916666666666665
GAT,0.5,0.5
GAT,0.8888888888888888,0.932900432900433
GAT,0.4320987654320988,0.5328042328042328
GAT,0.5,0.5833333333333333
GAT,0.3888888888888889,0.4705387205387205
GAT,0.36,0.4634920634920635
GAT,0.6875,0.8125
GAT,0.25,0.5
GAT,0.7777777777777779,0.7579365079365078
GAT,0.3888888888888889,0.5959595959595959
GAT,0.4444444444444445,0.5555555555555556
GAT,0.6666666666666666,0.8333333333333333
GAT,0.5,0.75
GAT,0.22222222222222224,0.4444444444444445
GAT,0.3333333333333333,0.6333333333333333
GAT,0.52,0.6968253968253968
GAT,1.0,1.0
GAT,0.3333333333333333,0.6333333333333333
GAT,0.5625,0.5845238095238094
GAT,1.0,1.0
GAT,0.0,0.5
GAT,0.625,0.799404761904762
GAT,0.0,0.41666666666666663
GAT,1.0,1.0
GAT,0.0,0.43333333333333335
GAT,0.75,0.8333333333333333
GAT,0.56,0.5866666666666666
GAT,0.375,0.45972222222222225
GAT,0.0,0.5
GAT,0.5625,0.5666666666666667
GAT,0.0,0.38333333333333336
GAT,0.5,0.5
GAT,0.888888888888889,0.9166666666666665
GAT,1.0,1.0
GAT,0.734375,0.8125
GAT,0.25,0.4795319264069264
GAT,0.4537037037037037,0.5371272988777369
GAT,0.5555555555555556,0.6118686868686869
GAT,0.3877551020408163,0.4541648827363113
GAT,0.4444444444444444,0.6666666666666667
GAT,0.5,0.5833333333333333
GAT,0.6111111111111112,0.5981481481481482
GAT,0.0,0.5
GAT,0.578125,0.5694715007215008
GAT,0.6938775510204082,0.723299319727891
GAT,0.75,0.8333333333333333
GAT,0.5625,0.6678571428571428
GAT,0.5,0.5428571428571428
GAT,0.75,0.8333333333333333
GAT,0.296875,0.42021103896103895
GAT,0.53125,0.6428571428571428
GAT,0.5306122448979592,0.5342102342102342
GAT,0.4938271604938272,0.5915325959443607
GAT,1.0,1.0
GAT,0.8125,0.8928571428571428
GAT,0.4444444444444445,0.5555555555555556
GAT,0.5,0.5250270562770563
GAT,1.0,1.0
GAT,0.22222222222222224,0.5
GAT,0.5493827160493827,0.6199346405228758
GAT,0.0,0.5
GAT,0.336734693877551,0.44631955346241065
GAT,0.7222222222222223,0.794047619047619
GAT,0.25,0.5
GAT,0.3055555555555556,0.4271524771524772
GAT,0.6326530612244898,0.6674603174603173
GAT,0.515625,0.5921130952380953
GAT,0.6,0.5926190476190476
GAT,0.375,0.5
GAT,0.671875,0.6959145021645021
GAT,0.6428571428571428,0.7626373626373626
GAT,0.7346938775510203,0.7782312925170067
GAT,0.7777777777777778,0.8666666666666667
GAT,0.734375,0.8068910256410257
GAT,1.0,1.0
GAT,1.0,1.0
GAT,0.592797783933518,0.6146737924941585
GAT,0.5,0.5210279304029304
GAT,1.0,1.0
GAT,0.885,0.8612626262626262
GAT,0.53125,0.5773809523809523
GAT,0.32,0.5777777777777777
GAT,1.0,1.0
GAT,0.2857142857142857,0.5057299843014129
GAT,0.0,0.41666666666666663
GAT,1.0,1.0
GAT,0.5,0.75
GAT,0.0,0.5
GAT,0.47959183673469385,0.5064935064935064
GAT,0.375,0.6071428571428572
GAT,1.0,1.0
GAT,0.7777777777777779,0.8055555555555556
GAT,0.25,0.5
GAT,1.0,1.0
GAT,0.7346938775510203,0.7591836734693878
GAT,0.7283950617283951,0.7949735449735451
GAT,0.5,0.5
GAT,0.625,0.625
GAT,0.5,0.5833333333333333
GAT,0.5714285714285714,0.5644300144300144
GAT,0.6000000000000001,0.7342857142857142
GAT,0.888888888888889,0.9166666666666665
GAT,0.215,0.4504377648495296
GAT,0.25,0.4333333333333333
GAT,0.4444444444444444,0.6666666666666667
GAT,0.6666666666666667,0.75
GAT,0.5,0.75
GAT,0.75,0.8333333333333333
GAT,0.0,0.41666666666666663
GAT,0.375,0.47619047619047616
GAT,0.0,0.41666666666666663
GAT,0.45999999999999996,0.5133158486680158
GAT,0.4444444444444445,0.5555555555555556
GAT,0.5555555555555556,0.5888888888888889
GAT,0.33333333333333337,0.4777777777777778
GAT,0.33333333333333337,0.5
GAT,1.0,1.0
GAT,0.40816326530612246,0.5683150183150183
GAT,0.7777777777777779,0.8055555555555556
GAT,0.4444444444444445,0.5333333333333333
GAT,0.3055555555555555,0.4280784030784031
GAT,0.6875,0.6458333333333333
GAT,0.75,0.8333333333333333
GAT,0.0,0.5
GAT,0.0,0.5
GAT,0.0,0.5
